Site,Subsite,Device,X,Y
VI,50um,A1,0,0
VI,50um,A2,-160,0
VI,50um,A3,-320,0
VI,50um,A4,-480,0
VI,50um,A5,-640,0
VI,50um,A6,-800,0
VI,50um,A7,-960,0
VI,50um,A8,-1120,0
VI,50um,A9,-1280,0
VI,50um,A10,-1440,0
VI,50um,A11,-1600,0
VI,50um,A12,-1760,0
VI,50um,A13,-1920,0
VI,40um,B1,0,160
VI,40um,B2,-160,160
VI,40um,B3,-320,160
VI,40um,B4,-480,160
VI,40um,B5,-640,160
VI,40um,B6,-800,160
VI,40um,B7,-960,160
VI,40um,B8,-1120,160
VI,40um,B9,-1280,160
VI,40um,B10,-1440,160
VI,40um,B11,-1600,160
VI,40um,B12,-1760,160
VI,40um,B13,-1920,160
VI,30um,C1,0,320
VI,30um,C2,-160,320
VI,30um,C3,-320,320
VI,30um,C4,-480,320
VI,30um,C5,-640,320
VI,30um,C6,-800,320
VI,30um,C7,-960,320
VI,30um,C8,-1120,320
VI,30um,C9,-1280,320
VI,30um,C10,-1440,320
VI,30um,C11,-1600,320
VI,30um,C12,-1760,320
VI,30um,C13,-1920,320
VI,25um,D1,0,480
VI,25um,D2,-160,480
VI,25um,D3,-320,480
VI,25um,D4,-480,480
VI,25um,D5,-640,480
VI,25um,D6,-800,480
VI,25um,D7,-960,480
VI,25um,D8,-1120,480
VI,25um,D9,-1280,480
VI,25um,D10,-1440,480
VI,25um,D11,-1600,480
VI,25um,D12,-1760,480
VI,25um,D13,-1920,480
VI,25um,E1,0,640
VI,25um,E2,-160,640
VI,25um,E3,-320,640
VI,25um,E4,-480,640
VI,25um,E5,-640,640
VI,25um,E6,-800,640
VI,25um,E7,-960,640
VI,25um,E8,-1120,640
VI,25um,E9,-1280,640
VI,25um,E10,-1440,640
VI,25um,E11,-1600,640
VI,25um,E12,-1760,640
VI,25um,E13,-1920,640
VI,20um,F1,0,800
VI,20um,F2,-160,800
VI,20um,F3,-320,800
VI,20um,F4,-480,800
VI,20um,F5,-640,800
VI,20um,F6,-800,800
VI,20um,F7,-960,800
VI,20um,F8,-1120,800
VI,20um,F9,-1280,800
VI,20um,F10,-1440,800
VI,20um,F11,-1600,800
VI,20um,F12,-1760,800
VI,20um,F13,-1920,800
VI,15um,G1,0,960
VI,15um,G2,-160,960
VI,15um,G3,-320,960
VI,15um,G4,-480,960
VI,15um,G5,-640,960
VI,15um,G6,-800,960
VI,15um,G7,-960,960
VI,15um,G8,-1120,960
