Site,Subsite,Device,X,Y
A,2TSNJunction,11,0,0
A,2TSNJunction,12,-600,0
A,2TSNJunction,13,-1200,0
A,2TSNJunction,14,-1800,0
A,2TSNJunction,21,-0,600
A,2TSNJunction,22,-600,600
A,2TSNJunction,23,-1200,600
A,2TSNJunction,24,-1800,600
A,2TSNJunction,31,-0,1200
A,2TSNJunction,32,-600,1200
A,2TSNJunction,33,-1200,1200
A,2TSNJunction,34,-1800,1200
A,2TSNJunction,41,-0,1800
A,2TSNJunction,42,-600,1800
A,2TSNJunction,43,-1200,1800
A,2TSNJunction,44,-1800,1800
A,2TSNJunction,51,-0,2400
A,2TSNJunction,52,-600,2400
A,2TSNJunction,53,-1200,2400
A,2TSNJunction,54,-1800,2400
A,2TSNJunction,61,-0,3000
A,2TSNJunction,62,-600,3000
A,2TSNJunction,63,-1200,3000
A,2TSNJunction,64,-1800,3000
B,2TSNJunction,11,-0,0
B,2TSNJunction,12,-600,0
B,2TSNJunction,13,-1200,0
B,2TSNJunction,14,-1800,0
B,2TSNJunction,21,-0,600
B,2TSNJunction,22,-600,600
B,2TSNJunction,23,-1200,600
B,2TSNJunction,24,-1800,600
B,2TSNJunction,31,-0,1200
B,2TSNJunction,32,-600,1200
B,2TSNJunction,33,-1200,1200
B,2TSNJunction,34,-1800,1200
B,2TSNJunction,41,-0,1800
B,2TSNJunction,42,-600,1800
B,2TSNJunction,43,-1200,1800
B,2TSNJunction,44,-1800,1800
B,2TSNJunction,51,-0,2400
B,2TSNJunction,52,-600,2400
B,2TSNJunction,53,-1200,2400
B,2TSNJunction,54,-1800,2400
B,2TSNJunction,61,-0,3000
B,2TSNJunction,62,-600,3000
B,2TSNJunction,63,-1200,3000
B,2TSNJunction,64,-1800,3000
C,2TSNJunction,11,-0,0
C,2TSNJunction,12,-600,0
C,2TSNJunction,13,-1200,0
C,2TSNJunction,14,-1800,0
C,2TSNJunction,21,-0,600
C,2TSNJunction,22,-600,600
C,2TSNJunction,23,-1200,600
C,2TSNJunction,24,-1800,600
C,2TSNJunction,31,-0,1200
C,2TSNJunction,32,-600,1200
C,2TSNJunction,33,-1200,1200
C,2TSNJunction,34,-1800,1200
C,2TSNJunction,41,-0,1800
C,2TSNJunction,42,-600,1800
C,2TSNJunction,43,-1200,1800
C,2TSNJunction,44,-1800,1800
C,2TSNJunction,51,-0,2400
C,2TSNJunction,52,-600,2400
C,2TSNJunction,53,-1200,2400
C,2TSNJunction,54,-1800,2400
C,2TSNJunction,61,-0,3000
C,2TSNJunction,62,-600,3000
C,2TSNJunction,63,-1200,3000
C,2TSNJunction,64,-1800,3000
D,2TSNJunction,11,-0,0
D,2TSNJunction,12,-600,0
D,2TSNJunction,13,-1200,0
D,2TSNJunction,14,-1800,0
D,2TSNJunction,21,-0,600
D,2TSNJunction,22,-600,600
D,2TSNJunction,23,-1200,600
D,2TSNJunction,24,-1800,600
D,2TSNJunction,31,-0,1200
D,2TSNJunction,32,-600,1200
D,2TSNJunction,33,-1200,1200
D,2TSNJunction,34,-1800,1200
D,2TSNJunction,41,-0,1800
D,2TSNJunction,42,-600,1800
D,2TSNJunction,43,-1200,1800
D,2TSNJunction,44,-1800,1800
D,2TSNJunction,51,-0,2400
D,2TSNJunction,52,-600,2400
D,2TSNJunction,53,-1200,2400
D,2TSNJunction,54,-1800,2400
D,2TSNJunction,61,-0,3000
D,2TSNJunction,62,-600,3000
D,2TSNJunction,63,-1200,3000
D,2TSNJunction,64,-1800,3000
E,2TSNJunction,11,-0,0
E,2TSNJunction,12,-600,0
E,2TSNJunction,13,-1200,0
E,2TSNJunction,14,-1800,0
E,2TSNJunction,21,-0,600
E,2TSNJunction,22,-600,600
E,2TSNJunction,23,-1200,600
E,2TSNJunction,24,-1800,600
E,2TSNJunction,31,-0,1200
E,2TSNJunction,32,-600,1200
E,2TSNJunction,33,-1200,1200
E,2TSNJunction,34,-1800,1200
E,2TSNJunction,41,-0,1800
E,2TSNJunction,42,-600,1800
E,2TSNJunction,43,-1200,1800
E,2TSNJunction,44,-1800,1800
E,2TSNJunction,51,-0,2400
E,2TSNJunction,52,-600,2400
E,2TSNJunction,53,-1200,2400
E,2TSNJunction,54,-1800,2400
E,2TSNJunction,61,-0,3000
E,2TSNJunction,62,-600,3000
E,2TSNJunction,63,-1200,3000
E,2TSNJunction,64,-1800,3000
F,2TSNJunction,11,-0,0
F,2TSNJunction,12,-600,0
F,2TSNJunction,13,-1200,0
F,2TSNJunction,14,-1800,0
F,2TSNJunction,21,-0,600
F,2TSNJunction,22,-600,600
F,2TSNJunction,23,-1200,600
F,2TSNJunction,24,-1800,600
F,2TSNJunction,31,-0,1200
F,2TSNJunction,32,-600,1200
F,2TSNJunction,33,-1200,1200
F,2TSNJunction,34,-1800,1200
F,2TSNJunction,41,-0,1800
F,2TSNJunction,42,-600,1800
F,2TSNJunction,43,-1200,1800
F,2TSNJunction,44,-1800,1800
F,2TSNJunction,51,-0,2400
F,2TSNJunction,52,-600,2400
F,2TSNJunction,53,-1200,2400
F,2TSNJunction,54,-1800,2400
F,2TSNJunction,61,-0,3000
F,2TSNJunction,62,-600,3000
F,2TSNJunction,63,-1200,3000
F,2TSNJunction,64,-1800,3000
D,BEtoBE,1121,0,0
D,BEtoBE,1112,0,0
D,BEtoBE,1113,0,0
D,BEtoBE,1131,0,0
D,BEtoBE,1141,0,0
