Site,Subsite,Device,X,Y
I,,,0,0
II,,,2500,0
III,,,5000,0
IV,,,7500,0
V,,,0,-2500
VI,,,2500,-2500
VII,,,5000,-2500
VIII,,,7500,-2500
IX,,,0,-5000
X,,,2500,-5000
XI,,,5000,-5000
XII,,,7500,-5000
XIII,,,0,-750
XIV,,,2500,-750
XV,,,5000,-750
XVI,,,7500,-750
,,,,
I,FeCap,,271,-270
II,FeCap,,271,-270
III,FeCap,,271,-270
IV,FeCap,,271,-270
V,FeCap,,271,-270
VI,FeCap,,271,-270
VII,FeCap,,271,-270
VIII,FeCap,,271,-270
IX,FeCap,,271,-270
X,FeCap,,271,-270
XI,FeCap,,271,-270
XII,FeCap,,271,-270
XIII,FeCap,,271,-270
XIV,FeCap,,271,-270
XV,FeCap,,271,-270
XVI,FeCap,,271,-270
,,,,
I,FeCapBD,,271,-270
II,FeCapBD,,271,-270
III,FeCapBD,,271,-270
IV,FeCapBD,,271,-270
V,FeCapBD,,271,-270
VI,FeCapBD,,271,-270
VII,FeCapBD,,271,-270
VIII,FeCapBD,,271,-270
IX,FeCapBD,,271,-270
X,FeCapBD,,271,-270
XI,FeCapBD,,271,-270
XII,FeCapBD,,271,-270
XIII,FeCapBD,,271,-270
XIV,FeCapBD,,271,-270
XV,FeCapBD,,271,-270
XVI,FeCapBD,,271,-270
,,,,
,FeCapBD,A1A2,0,0
,FeCapBD,A2A3,160,0
,FeCapBD,A3A4,320,0
,FeCapBD,A4A5,480,0
,FeCapBD,A5A6,640,0
,FeCapBD,A6A7,800,0
,FeCapBD,A7A8,960,0
,FeCapBD,A8A9,1120,0
,FeCapBD,A9A10,1280,0
,FeCapBD,A10A11,1440,0
,FeCapBD,A11A12,1600,0
,FeCapBD,A12A13,1760,0
,FeCapBD,B1B2,0,-160
,FeCapBD,B2B3,160,-160
,FeCapBD,B3B4,320,-160
,FeCapBD,B4B5,480,-160
,FeCapBD,B5B6,640,-160
,FeCapBD,B6B7,800,-160
,FeCapBD,B7B8,960,-160
,FeCapBD,B8B9,1120,-160
,FeCapBD,B9B10,1280,-160
,FeCapBD,B10B11,1440,-160
,FeCapBD,B11B12,1600,-160
,FeCapBD,B12B13,1760,-160
,FeCapBD,C1C2,0,-320
,FeCapBD,C2C3,160,-320
,FeCapBD,C3C4,320,-320
,FeCapBD,C4C5,480,-320
,FeCapBD,C5C6,640,-320
,FeCapBD,C6C7,800,-320
,FeCapBD,C7C8,960,-320
,FeCapBD,C8C9,1120,-320
,FeCapBD,C9C10,1280,-320
,FeCapBD,C10C11,1440,-320
,FeCapBD,C11C12,1600,-320
,FeCapBD,C12C13,1760,-320
,FeCapBD,D1D2,0,-480
,FeCapBD,D2D3,160,-480
,FeCapBD,D3D4,320,-480
,FeCapBD,D4D5,480,-480
,FeCapBD,D5D6,640,-480
,FeCapBD,D6D7,800,-480
,FeCapBD,D7D8,960,-480
,FeCapBD,D8D9,1120,-480
,FeCapBD,D9D10,1280,-480
,FeCapBD,D10D11,1440,-480
